url,title,company,description,true_is_internship,true_role,true_category,true_location,should_save,target_category,notes
https://example.com/jobs/pricing-valuation-actuary,Pricing & Valuation Internship (Actuary),PT Maskapai Reasuransi Indonesia,"Internship program for reinsurance pricing, valuation, reserving, IFRS 17, PSAK 117, and technical reserve analysis.",true,actuarial,actuarial,Jakarta,true,actuarial,valid actuarial internship
https://example.com/jobs/actuarial-intern,Actuarial Intern,PT Asuransi Contoh,"Program magang aktuaria untuk pricing, reserving, probability, statistics, and insurance liability.",true,actuarial,actuarial,Jakarta,true,actuarial,valid actuarial internship
https://example.com/jobs/senior-actuary,Senior Actuary,PT Asuransi Senior,"Senior actuary role for pricing and reserving. Related jobs: actuarial internship, finance internship.",false,actuarial,actuarial,Jakarta,false,actuarial,actuarial but not internship
https://example.com/jobs/legal-intern,Legal Internship,PT Legal Kita,"Legal internship for contract review, corporate documents, compliance, and legal administration.",true,,,Jakarta,false,actuarial,internship but out of target
https://example.com/jobs/video-editor-intern,Internship Video Editor,PT Kreatif Media,"Internship video editor for TikTok, social media, content production, and editing.",true,,,Jakarta,false,actuarial,internship but out of target
https://example.com/jobs/recruitment-intern,Recruitment Internship,PT HR Nusantara,"Recruitment internship for sourcing candidates, interview scheduling, and HR administration.",true,,,Jakarta,false,actuarial,internship but out of target
https://example.com/jobs/customer-support-intern,Customer Support Internship,PT Layanan Cepat,"Customer support internship handling tickets, chats, and customer inquiries.",true,,,Jakarta,false,actuarial,internship but out of target
https://example.com/jobs/marketing-paid-intern,Marketing Paid Internship,PT Market Maju,"Paid internship for digital marketing campaign, KOL coordination, and social media.",true,,,Jakarta,false,actuarial,internship but out of target
https://example.com/jobs/warehouse-intern,Warehouse Internship,PT Logistik Rapi,"Warehouse internship for stock opname, inventory handling, packing, and operations.",true,,,Bekasi,false,actuarial,internship but out of target
https://example.com/jobs/frontend-intern,Frontend Developer Intern,PT Example Tech,"Program magang frontend React, Next.js, TypeScript, and API integration.",true,frontend,tech,Jakarta,false,actuarial,valid internship but wrong target
